"Name","Team","W","L","ERA","GS","G","SV","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","RA9-WAR","ADP","playerid"
"Jacob deGrom","NYM","15","8","2.78","32","32","0","201.0","149","62","21","277","51","1.00","12.43","2.31","2.70","6.5","6.3","4.3","10954"
"Shane Bieber","CLE","13","9","3.30","31","31","0","195.0","164","71","25","246","48","1.09","11.37","2.21","3.19","5.2","5.5","9.8","19427"
"Gerrit Cole","NYY","14","9","3.57","32","32","0","201.0","163","80","31","263","58","1.10","11.76","2.60","3.55","5.1","5.0","7.3","13125"
"Yu Darvish","SDP","13","8","3.42","31","31","0","189.0","155","72","23","236","57","1.12","11.21","2.71","3.34","4.6","4.4","16.5","13074"
"Max Scherzer","WSN","12","8","3.62","29","29","0","179.0","149","72","26","231","52","1.12","11.63","2.61","3.50","4.6","4.3","24.8","3137"
"Brandon Woodruff","MIL","12","9","3.51","31","31","0","185.0","158","72","23","218","58","1.17","10.63","2.80","3.53","4.5","4.3","32.0","16162"
"Luis Castillo","CIN","13","9","3.56","31","31","0","187.0","162","74","22","227","67","1.22","10.91","3.22","3.50","4.5","4.5","28.0","15689"
"Trevor Bauer","LAD","14","8","3.66","31","31","0","195.0","167","80","26","234","64","1.18","10.78","2.96","3.72","4.3","3.9","15.5","12703"
"Aaron Nola","PHI","13","9","3.69","31","31","0","190.0","169","78","24","219","66","1.23","10.38","3.12","3.69","4.1","4.0","21.8","16149"
"Walker Buehler","LAD","13","7","3.52","29","29","0","172.0","147","67","22","206","53","1.16","10.79","2.78","3.52","4.0","3.7","22.0","19374"
"German Marquez","COL","11","12","4.54","31","31","0","192.0","203","97","28","198","57","1.35","9.29","2.65","4.07","3.7","3.6","197.2","15038"
"Stephen Strasburg","WSN","11","9","3.99","28","28","0","163.0","155","72","22","171","47","1.25","9.48","2.62","3.89","3.7","3.1","69.0","10131"
"Clayton Kershaw","LAD","13","8","3.50","29","29","0","175.0","161","68","23","188","44","1.17","9.68","2.24","3.62","3.6","3.7","32.4","2036"
"Patrick Corbin","WSN","12","10","4.01","31","31","0","190.0","186","85","26","193","62","1.30","9.14","2.94","4.02","3.6","3.5","135.8","9323"
"Charlie Morton","ATL","12","8","3.77","29","29","0","168.0","155","70","19","181","55","1.25","9.68","2.96","3.74","3.4","3.4","110.8","4676"
"Blake Snell","SDP","11","7","3.35","28","28","0","151.0","124","56","17","185","57","1.20","11.03","3.43","3.48","3.4","3.7","40.3","13543"
"Jack Flaherty","STL","12","10","3.66","31","31","0","182.0","156","74","24","213","63","1.20","10.52","3.13","3.80","3.3","3.8","31.7","17479"
"Kevin Gausman","SFG","11","10","3.74","29","29","0","170.0","155","70","21","185","51","1.22","9.83","2.73","3.64","3.3","3.2","136.5","14107"
"Zack Wheeler","PHI","12","9","4.00","29","29","0","181.0","175","80","25","177","51","1.25","8.81","2.54","4.04","3.2","3.2","99.3","10310"
"Tyler Glasnow","TBR","10","9","3.74","28","28","0","163.0","132","68","22","206","68","1.22","11.36","3.74","3.76","3.2","3.4","43.2","14374"
"Joe Musgrove","SDP","11","9","3.85","29","29","0","169.0","159","72","23","169","48","1.22","8.99","2.56","3.97","3.2","2.9","118.8","12970"
"Sonny Gray","CIN","10","9","3.99","28","28","0","159.0","146","70","20","179","65","1.33","10.14","3.67","3.94","3.2","3.1","89.2","12768"
"Lance Lynn","CHW","11","11","4.20","31","31","0","191.0","179","89","31","205","65","1.27","9.62","3.04","4.30","3.1","2.9","55.0","2520"
"Max Fried","ATL","12","8","3.81","29","29","0","171.0","166","72","19","167","63","1.34","8.82","3.31","3.92","3.0","3.4","68.3","13743"
"Corbin Burnes","MIL","10","8","3.78","26","26","0","152.0","129","64","20","182","62","1.25","10.73","3.64","3.86","3.0","3.0","52.6","19361"
"Lucas Giolito","CHW","10","10","4.04","29","29","0","172.0","150","77","27","204","64","1.24","10.66","3.36","4.14","3.0","3.0","16.9","15474"
"Kyle Hendricks","CHC","11","10","4.22","29","29","0","183.0","191","86","26","155","41","1.27","7.64","2.01","4.19","3.0","2.7","78.8","12049"
"Dinelson Lamet","SDP","9","6","3.40","23","23","0","128.0","101","49","16","170","46","1.14","11.94","3.23","3.40","3.0","3.1","113.5","17186"
"Kenta Maeda","MIN","11","10","4.28","29","29","0","172.0","162","82","27","178","57","1.27","9.31","2.97","4.32","2.8","2.8","47.0","18498"
"Hyun-Jin Ryu","TOR","11","9","4.20","29","29","0","179.0","184","84","26","156","47","1.29","7.84","2.39","4.27","2.8","3.0","68.8","14444"
"Jose Berrios","MIN","11","10","4.25","29","29","0","178.0","167","84","27","183","59","1.27","9.25","3.00","4.29","2.8","3.0","79.9","14168"
"Marcus Stroman","NYM","11","9","3.85","28","28","0","164.0","162","70","18","143","56","1.33","7.83","3.06","4.02","2.8","2.7","189.4","13431"
"Jesus Luzardo","OAK","9","9","3.85","26","26","0","151.0","137","65","21","153","51","1.25","9.14","3.07","4.10","2.7","2.8","95.9","19959"
"Pablo Lopez","MIA","9","10","3.81","28","28","0","160.0","151","68","19","153","49","1.25","8.63","2.74","3.92","2.7","2.7","130.5","17085"
"Carlos Carrasco","NYM","9","6","3.40","21","21","0","121.0","102","46","15","146","36","1.15","10.88","2.71","3.47","2.7","2.7","143.4","6632"
"Lance McCullers Jr.","HOU","10","8","3.78","26","26","0","148.0","136","62","17","152","53","1.28","9.27","3.21","3.91","2.7","2.8","113.4","14120"
"Andrew Heaney","LAA","11","10","4.27","29","29","0","172.0","161","82","30","176","52","1.24","9.24","2.73","4.49","2.5","2.7","228.7","15423"
"Corey Kluber","NYY","10","8","4.26","26","26","0","156.0","150","74","27","161","43","1.24","9.31","2.50","4.32","2.5","2.6","167.3","2429"
"Sixto Sanchez","","8","9","3.86","24","24","0","138.0","131","59","16","130","45","1.28","8.46","2.93","3.95","2.4","2.2","135.3","19680"
"Zac Gallen","ARI","8","8","4.01","23","23","0","130.0","117","58","17","146","48","1.27","10.17","3.33","3.92","2.4","2.4","76.1","19291"
"Matthew Boyd","DET","9","11","4.48","29","29","0","172.0","165","86","31","176","55","1.27","9.22","2.87","4.59","2.4","2.7","309.0","15440"
"Nathan Eovaldi","BOS","9","8","4.25","26","26","0","146.0","143","69","22","148","43","1.28","9.14","2.68","4.13","2.3","2.6","260.3","9132"
"Marco Gonzales","SEA","9","12","4.51","29","29","0","180.0","189","90","31","142","46","1.31","7.09","2.30","4.75","2.3","2.1","184.0","15467"
"Eduardo Rodriguez","BOS","10","9","4.43","28","28","0","165.0","160","81","25","172","64","1.36","9.36","3.49","4.38","2.3","2.6","222.1","13164"
"Zack Greinke","HOU","12","11","4.36","31","31","0","191.0","196","92","32","165","45","1.27","7.80","2.15","4.49","2.3","2.5","101.9","1943"
"Tyler Mahle","CIN","9","9","4.56","26","26","0","144.0","139","73","24","156","53","1.34","9.79","3.33","4.51","2.2","1.9","170.5","16358"
"Mike Minor","KCR","9","12","4.57","29","29","0","178.0","178","90","28","155","60","1.34","7.85","3.03","4.68","2.2","2.6","304.1","10021"
"Kwang-hyun Kim","STL","10","10","4.11","28","28","0","165.0","167","75","22","144","51","1.32","7.84","2.76","4.25","2.2","2.4","381.2","27458"
"Michael Pineda","MIN","9","10","4.65","28","28","0","159.0","165","82","28","142","42","1.30","8.03","2.35","4.62","2.2","2.0","238.1","5372"
"Kyle Gibson","TEX","8","12","4.69","29","29","0","174.0","184","91","25","151","70","1.46","7.76","3.60","4.72","2.2","2.7","555.8","10123"
"Chris Sale","BOS","6","4","3.49","15","15","0","84.0","69","33","11","109","23","1.10","11.64","2.45","3.36","2.2","2.3","361.9","10603"
"James Paxton","SEA","8","9","4.03","24","24","0","133.0","119","60","21","141","46","1.24","9.58","3.10","4.24","2.1","2.3","211.7","11828"
"Chris Paddack","SDP","9","7","3.86","23","23","0","125.0","116","54","18","129","32","1.19","9.32","2.34","3.93","2.1","2.2","102.6","20099"
"Zach Eflin","PHI","10","10","4.50","29","29","0","168.0","170","84","28","160","50","1.31","8.55","2.70","4.51","2.1","2.0","185.9","13774"
"Mike Soroka","ATL","9","8","4.17","24","24","0","139.0","143","64","17","121","44","1.34","7.82","2.83","4.11","2.1","2.2","187.1","18383"
"Jon Gray","COL","8","11","5.32","28","28","0","159.0","180","94","27","141","55","1.48","8.00","3.13","4.83","2.1","1.8","564.2","14916"
"Dustin May","LAD","9","6","3.72","19","43","0","131.0","122","54","15","130","43","1.26","8.98","2.95","3.84","2.1","2.2","223.4","19716"
"Robbie Ray","TOR","10","10","4.53","29","29","0","163.0","140","82","28","201","86","1.39","11.09","4.76","4.67","2.1","2.2","294.6","11486"
"Sean Manaea","OAK","9","10","4.27","28","28","0","161.0","163","77","24","137","45","1.28","7.64","2.49","4.45","2.1","2.1","251.1","15873"
"Frankie Montas","OAK","9","9","4.21","26","26","0","145.0","138","68","21","137","50","1.30","8.55","3.13","4.34","2.1","2.1","164.1","14309"
"Yusei Kikuchi","SEA","9","10","4.21","28","28","0","158.0","151","74","24","149","55","1.30","8.51","3.13","4.43","2.1","2.3","277.3","20633"
"Merrill Kelly","ARI","8","10","4.68","26","26","0","156.0","162","81","25","141","50","1.36","8.12","2.91","4.58","2.0","1.7","528.2","11156"
"Sandy Alcantara","MIA","9","12","4.31","29","29","0","181.0","176","87","23","167","73","1.37","8.30","3.65","4.40","2.0","2.0","131.7","18684"
"Josh Lindblom","MIL","9","9","4.21","21","58","0","151.0","143","71","25","161","43","1.23","9.57","2.56","4.22","2.0","2.0","408.3","7882"
"Dallas Keuchel","CHW","10","12","4.59","31","31","0","185.0","206","94","26","132","62","1.45","6.41","3.04","4.75","2.0","1.9","218.6","9434"
"Jordan Montgomery","NYY","9","8","4.41","24","24","0","135.0","132","66","23","131","44","1.31","8.80","2.98","4.53","2.0","2.0","229.6","16511"
"Drew Smyly","ATL","9","7","4.16","24","24","0","134.0","119","62","21","162","52","1.27","10.86","3.46","4.10","2.0","2.3","243.6","11760"
"John Means","BAL","8","11","4.77","28","28","0","160.0","163","85","32","142","45","1.30","7.96","2.55","5.05","2.0","1.9","232.2","16269"
"Noah Syndergaard","NYM","6","5","3.77","16","16","0","95.0","87","40","12","98","27","1.20","9.31","2.55","3.71","2.0","1.7","325.7","11762"
"Dane Dunning","TEX","7","9","4.67","23","23","0","130.0","133","68","20","120","50","1.40","8.26","3.42","4.68","1.9","2.0","365.0","19409"
"Julio Urias","LAD","9","7","4.13","23","38","0","138.0","126","63","21","142","51","1.29","9.26","3.33","4.36","1.9","1.8","119.6","14765"
"Chris Bassitt","OAK","10","11","4.42","29","29","0","176.0","173","86","27","153","56","1.30","7.84","2.86","4.57","1.9","2.1","189.3","12304"
"Anthony DeSclafani","SFG","8","9","4.33","26","26","0","145.0","145","70","20","135","45","1.32","8.41","2.81","4.22","1.9","1.7","463.8","13050"
"Ian Anderson","ATL","9","7","4.20","24","24","0","138.0","125","64","18","152","66","1.39","9.94","4.35","4.23","1.9","2.2","95.7","19951"
"Brady Singer","KCR","8","9","4.41","24","24","0","137.0","141","67","17","117","50","1.40","7.70","3.27","4.37","1.9","2.1","252.5","25377"
"Dylan Bundy","LAA","10","11","4.69","29","29","0","175.0","173","91","33","167","56","1.31","8.60","2.86","4.81","1.8","2.0","120.1","12917"
"Spencer Turnbull","DET","7","9","4.48","23","23","0","129.0","126","64","17","119","52","1.39","8.30","3.67","4.48","1.8","1.9","491.5","16207"
"Chris Archer","TBR","8","9","4.25","24","24","0","139.0","127","66","22","148","51","1.28","9.57","3.30","4.39","1.8","2.1","488.0","6345"
"Framber Valdez","HOU","7","5","3.50","16","16","0","93.0","83","36","9","95","38","1.31","9.20","3.71","3.77","1.8","2.1","287.7","17295"
"Tejay Antone","CIN","8","8","4.25","16","66","0","140.0","134","66","19","142","58","1.37","9.14","3.71","4.28","1.8","1.7","318.0","16233"
"Jonathan Brubaker","PIT","8","9","4.22","21","42","0","137.0","136","64","17","128","48","1.34","8.39","3.14","4.18","1.8","1.7","547.2","17578"
"Jake Odorizzi","HOU","9","9","4.47","26","26","0","146.0","137","73","26","153","52","1.29","9.40","3.19","4.62","1.8","1.8","277.3","6397"
"Tarik Skubal","DET","7","8","4.37","23","23","0","127.0","116","62","21","138","50","1.31","9.77","3.54","4.49","1.8","2.1","302.1","22267"
"Jose Quintana","LAA","9","9","4.44","28","28","0","156.0","158","77","26","138","50","1.33","7.95","2.88","4.65","1.8","2.1","479.7","11423"
"Adrian Houser","MIL","8","8","4.27","24","24","0","134.0","135","64","17","118","50","1.38","7.92","3.36","4.33","1.8","1.9","552.0","12718"
"Johnny Cueto","SFG","10","11","4.43","29","29","0","174.0","178","86","24","156","61","1.37","8.05","3.14","4.42","1.7","1.8","562.2","6893"
"Jameson Taillon","NYY","8","8","4.63","23","23","0","130.0","133","67","22","118","38","1.33","8.19","2.67","4.65","1.7","1.5","190.0","11674"
"Trevor Rogers","MIA","7","8","3.97","23","23","0","124.0","113","54","16","125","49","1.31","9.08","3.56","4.16","1.7","1.9","353.6","22286"
"Zach Plesac","CLE","9","11","4.74","28","28","0","168.0","174","89","31","149","49","1.33","7.95","2.64","4.87","1.7","1.9","86.5","19979"
"Adam Wainwright","STL","9","10","4.41","26","26","0","153.0","157","75","22","129","52","1.37","7.62","3.06","4.54","1.7","1.7","343.9","2233"
"Nate Pearson","TOR","8","8","4.71","23","23","0","126.0","122","66","22","125","51","1.37","8.93","3.65","4.80","1.7","1.4","322.1","20160"
"Danny Duffy","KCR","8","11","4.74","28","28","0","157.0","158","83","26","141","58","1.37","8.07","3.31","4.81","1.7","2.0","555.3","3542"
"Brad Keller","KCR","8","11","4.74","28","28","0","166.0","181","88","20","120","67","1.49","6.51","3.61","4.70","1.7","1.9","368.9","15734"
"A.J. Puk","","7","6","3.73","13","59","0","120.0","100","50","16","139","51","1.27","10.46","3.86","3.98","1.6","1.9","412.0","19343"
"Luke Weaver","ARI","8","9","4.49","24","24","0","133.0","132","67","22","134","44","1.32","9.07","2.98","4.42","1.6","1.7","519.5","16918"
"Freddy Peralta","MIL","8","8","4.15","18","58","0","138.0","116","64","21","169","63","1.29","11.00","4.08","4.26","1.6","1.9","261.2","18679"
"Mitch Keller","PIT","7","9","4.45","24","24","0","136.0","131","67","19","137","59","1.40","9.07","3.90","4.40","1.6","1.6","421.0","17594"
"Brett Anderson","MIL","8","8","4.27","24","24","0","133.0","146","63","17","94","38","1.38","6.34","2.54","4.41","1.6","1.9","593.1","8223"
"David Price","LAD","8","5","3.79","13","57","0","116.0","104","49","17","129","38","1.22","10.02","2.93","3.95","1.6","1.6","239.1","3184"
"Logan Webb","SFG","8","8","4.21","24","24","0","131.0","132","61","14","117","53","1.41","8.03","3.61","4.17","1.6","1.6","482.0","17995"
"Vince Velasquez","PHI","7","7","4.26","15","65","0","127.0","115","60","22","146","47","1.28","10.31","3.34","4.41","1.6","1.4","589.3","11189"
"Luis Severino","NYY","6","4","4.03","15","15","0","83.0","76","37","13","89","27","1.24","9.70","2.91","4.13","1.6","1.6","448.8","15890"
"Justus Sheffield","SEA","8","10","4.50","26","26","0","149.0","146","74","21","132","69","1.44","7.94","4.19","4.81","1.6","1.6","350.7","17285"
"Carlos Martinez","STL","8","9","4.45","24","24","0","134.0","134","66","18","116","57","1.42","7.79","3.83","4.63","1.5","1.4","422.4","11682"
"Taijuan Walker","NYM","9","9","4.47","26","26","0","145.0","142","72","23","140","54","1.35","8.65","3.32","4.60","1.5","1.3","280.8","11836"
"Garrett Richards","BOS","8","8","4.76","24","24","0","130.0","132","69","20","124","52","1.41","8.57","3.57","4.60","1.5","1.6","487.9","9784"
"Aaron Civale","CLE","8","10","4.70","26","26","0","154.0","163","81","27","131","42","1.33","7.64","2.46","4.70","1.5","1.9","178.7","19479"
"Domingo German","NYY","9","9","4.66","21","49","0","147.0","142","76","28","150","50","1.32","9.23","3.09","4.77","1.5","1.5","239.3","17149"
"Miles Mikolas","STL","6","6","4.19","18","18","0","103.0","108","48","15","83","22","1.26","7.22","1.94","4.26","1.5","1.4","549.9","9803"
"Antonio Senzatela","COL","8","13","5.73","29","29","0","171.0","211","109","28","124","64","1.61","6.50","3.35","5.16","1.5","1.2","577.3","15488"
"Elieser Hernandez","MIA","8","10","4.42","26","26","0","144.0","134","71","24","148","50","1.28","9.25","3.13","4.53","1.4","1.6","221.5","16933"
"Triston McKenzie","CLE","8","9","4.61","23","37","0","141.0","134","72","25","147","52","1.32","9.37","3.31","4.68","1.4","1.7","202.5","18000"
"Steven Matz","TOR","8","8","4.77","24","24","0","132.0","135","70","23","123","46","1.37","8.38","3.15","4.77","1.4","1.4","538.0","13361"
"Tony Gonsolin","LAD","8","6","4.08","13","61","0","120.0","107","54","19","135","43","1.25","10.10","3.23","4.17","1.4","1.3","267.4","19388"
"Madison Bumgarner","ARI","8","12","5.10","29","29","0","176.0","193","100","33","143","51","1.39","7.32","2.63","5.07","1.4","1.1","328.5","5524"
"Alex Cobb","LAA","8","9","4.66","26","26","0","144.0","156","75","24","110","42","1.38","6.88","2.61","4.80","1.4","1.5","563.8","6562"
"Alex Wood","SFG","7","7","3.98","18","36","0","116.0","116","51","14","109","37","1.31","8.42","2.86","4.04","1.4","1.6","572.5","13781"
"Griffin Canning","LAA","8","9","4.67","24","24","0","134.0","131","70","24","131","50","1.35","8.82","3.38","4.82","1.4","1.5","321.7","19867"
"Rick Porcello","","6","7","4.81","19","19","0","114.0","121","61","20","97","32","1.34","7.68","2.51","4.79","1.4","1.1","597.4","2717"
"Michael Lorenzen","CIN","8","9","4.59","18","60","0","142.0","142","73","21","139","62","1.44","8.76","3.94","4.59","1.4","1.3","539.1","14843"
"Wade Miley","CIN","8","9","4.74","26","26","0","138.0","148","73","20","120","60","1.50","7.81","3.88","4.79","1.4","1.4","598.1","8779"
"Chris Flexen","SEA","5","6","4.17","15","29","0","97.0","88","45","15","103","36","1.28","9.61","3.34","4.32","1.3","1.4","583.4","13896"
"Zach Davies","CHC","9","10","4.98","28","28","0","159.0","178","88","25","123","54","1.46","6.92","3.06","4.87","1.3","1.0","254.4","13183"
"Kyle Cody","TEX","5","8","4.92","18","29","0","109.0","111","59","18","101","46","1.45","8.34","3.84","4.92","1.3","1.4","600.5","19686"
"Garrett Crochet","CHW","3","2","2.70","0","53","0","53.0","35","16","5","84","22","1.08","14.30","3.81","2.78","1.3","1.2","999.0","27463"
"Austin Gomber","COL","7","10","5.32","24","24","0","134.0","145","79","23","127","60","1.53","8.52","4.06","5.03","1.3","1.6","555.5","16561"
"Jake Arrieta","CHC","8","9","4.85","24","24","0","138.0","149","75","19","108","54","1.47","7.03","3.51","4.76","1.3","1.0","530.5","4153"
"Tyler Anderson","PIT","7","11","4.93","26","26","0","152.0","160","83","26","127","58","1.44","7.51","3.43","5.04","1.3","1.0","596.2","12880"
"J.A. Happ","MIN","8","9","4.79","24","24","0","135.0","139","72","24","119","47","1.37","7.89","3.14","4.88","1.3","1.5","448.2","7410"
"Josh Hader","MIL","4","3","3.08","0","66","25","66.0","44","23","9","103","27","1.07","14.07","3.64","3.17","1.3","1.3","56.7","14212"
"Kyle Freeland","COL","6","9","5.36","21","21","0","117.0","137","70","19","96","44","1.55","7.38","3.39","4.89","1.3","1.2","576.9","16256"
"David Peterson","NYM","7","6","4.07","19","19","0","109.0","105","49","13","98","45","1.38","8.11","3.72","4.41","1.3","1.5","999.0","20302"
"Dylan Cease","CHW","7","9","4.67","24","24","0","133.0","128","69","21","134","63","1.43","9.07","4.27","4.84","1.2","1.3","317.2","18525"
"Kris Bubic","","6","7","4.55","19","19","0","108.0","106","55","15","96","47","1.42","8.03","3.92","4.73","1.2","1.5","999.0","21455"
"Ross Stripling","TOR","7","7","4.47","13","69","0","125.0","129","62","20","113","37","1.32","8.13","2.65","4.49","1.2","1.1","529.5","13273"
"Michael Kopech","CHW","6","6","4.29","13","49","0","109.0","96","52","17","130","47","1.31","10.69","3.89","4.40","1.2","1.2","430.0","17282"
"Jose Urquidy","HOU","8","9","4.79","24","24","0","138.0","140","73","26","123","41","1.32","8.01","2.66","4.91","1.2","1.2","189.4","18413"
"Edwin Diaz","NYM","4","2","2.82","0","63","32","63.0","42","20","7","96","25","1.06","13.77","3.53","2.82","1.2","1.2","70.4","14710"
"Adbert Alzolay","CHC","7","7","4.56","19","25","0","113.0","104","57","17","123","54","1.39","9.81","4.26","4.58","1.2","1.3","439.2","17859"
"Casey Mize","DET","6","9","5.04","23","23","0","124.0","129","69","22","102","44","1.40","7.45","3.21","5.10","1.2","1.1","436.4","20492"
"Martin Perez","BOS","9","11","5.12","28","28","0","161.0","181","92","25","123","64","1.52","6.84","3.57","5.00","1.2","1.3","588.3","6902"
"Adrian Morejon","SDP","5","4","3.51","10","30","0","72.0","61","28","8","83","29","1.25","10.42","3.64","3.73","1.2","1.3","548.0","20039"
"Trevor Cahill","PIT","5","7","4.71","16","28","0","98.0","101","51","13","89","42","1.44","8.18","3.80","4.58","1.2","0.6","598.4","6249"
"Dean Kremer","BAL","7","10","5.04","24","24","0","145.0","143","81","27","130","66","1.44","8.09","4.12","5.28","1.2","1.3","574.0","19350"
"Matt Shoemaker","MIN","6","7","4.77","19","19","0","108.0","110","57","19","99","38","1.37","8.24","3.20","4.81","1.1","1.2","547.0","4776"
"Jon Lester","WSN","8","9","5.00","24","24","0","135.0","148","75","23","114","45","1.43","7.58","2.99","4.88","1.1","1.1","559.5","4930"
"Aroldis Chapman","NYY","4","2","3.03","0","63","32","63.0","44","21","7","93","28","1.14","13.23","4.03","3.18","1.1","1.3","64.5","10233"
"Caleb Smith","ARI","7","9","4.95","24","24","0","132.0","126","72","26","142","57","1.39","9.68","3.89","5.03","1.1","1.1","462.2","14875"
"Chad Kuhl","PIT","7","10","4.84","24","24","0","141.0","142","76","22","132","61","1.45","8.43","3.90","4.78","1.1","1.1","575.5","14975"
"Liam Hendriks","CHW","4","3","3.29","0","68","29","68.0","53","25","9","93","20","1.08","12.27","2.70","3.24","1.1","1.1","53.5","3548"
"Matt Moore","PHI","8","9","4.95","24","24","0","136.0","139","75","26","127","50","1.39","8.37","3.33","5.07","1.1","1.0","564.6","1890"
"Drew Rasmussen","MIL","5","4","3.65","5","63","0","86.0","72","35","10","105","38","1.28","10.99","3.99","3.75","1.1","1.3","600.8","25385"
"Corbin Martin","","5","5","4.44","15","15","0","82.0","79","40","12","82","34","1.38","9.07","3.77","4.41","1.1","1.1","590.8","19884"
"Joe Ross","WSN","7","9","5.03","23","23","0","127.0","137","71","22","108","47","1.44","7.63","3.35","4.98","1.1","0.9","586.5","12972"
"Alec Mills","CHC","7","8","4.70","18","43","0","126.0","131","66","20","109","44","1.39","7.76","3.12","4.70","1.0","0.9","541.6","13834"
"Carlos Rodon","CHW","6","8","4.80","16","42","0","116.0","114","62","20","112","49","1.40","8.66","3.78","4.92","1.0","0.7","491.5","16137"
"Aaron Sanchez","SFG","7","8","4.46","19","35","0","122.0","123","61","14","107","57","1.47","7.89","4.18","4.48","1.0","1.0","570.8","11490"
"Ryan Yarbrough","TBR","9","11","4.68","28","28","0","163.0","172","85","27","122","49","1.35","6.73","2.68","4.93","1.0","1.5","262.2","16502"
"MacKenzie Gore","SDP","5","5","4.19","15","15","0","83.0","77","39","12","84","35","1.34","9.12","3.77","4.46","1.0","1.1","999.0","sa3005068"
"Spencer Howard","","6","6","4.42","13","38","0","96.0","90","47","15","101","38","1.34","9.43","3.59","4.53","1.0","0.9","999.0","23252"
"Trevor May","NYM","4","3","3.40","0","64","3","64.0","49","24","8","86","25","1.15","12.10","3.49","3.49","1.0","0.8","536.9","6398"
"Jakob Junis","KCR","6","8","4.73","15","51","0","117.0","123","61","19","102","34","1.35","7.84","2.64","4.63","0.9","1.1","593.0","13619"
"Shohei Ohtani","LAA","6","6","4.62","18","18","0","97.0","90","50","16","101","47","1.42","9.36","4.38","4.81","0.9","1.2","154.1","19755"
"Rich Hill","TBR","6","7","4.51","19","19","0","106.0","100","53","17","98","43","1.36","8.38","3.70","4.80","0.9","1.2","514.0","4806"
"Keegan Akin","","6","9","5.03","21","21","0","118.0","113","66","23","115","59","1.46","8.71","4.49","5.42","0.9","1.1","586.1","19362"
"Trevor Williams","CHC","8","9","5.00","24","24","0","135.0","145","75","23","113","46","1.42","7.53","3.09","4.91","0.9","0.9","587.3","16977"
"Deivi Garcia","NYY","5","6","5.02","16","16","0","92.0","90","52","18","92","39","1.40","8.95","3.83","5.18","0.9","0.7","443.0","20276"
"Taylor Hearn","TEX","4","5","4.29","5","69","4","91.0","80","44","15","106","43","1.35","10.42","4.22","4.50","0.9","1.1","600.2","18325"
"Steven Brault","PIT","6","9","4.70","23","23","0","121.0","121","63","16","109","60","1.49","8.05","4.42","4.81","0.9","1.1","572.0","15291"
"Cal Quantrill","CLE","7","8","4.79","16","51","0","124.0","130","66","21","107","40","1.37","7.81","2.88","4.79","0.9","1.0","528.9","19312"
"Michael Wacha","TBR","7","9","4.69","24","24","0","130.0","132","68","21","113","49","1.39","7.82","3.38","4.86","0.9","1.2","518.6","14078"
"Michael Fulmer","DET","5","8","4.81","13","58","0","112.0","120","60","18","85","35","1.39","6.86","2.85","4.87","0.9","0.8","598.8","13218"
"Logan Allen","CLE","8","9","4.71","21","49","0","147.0","147","77","23","133","65","1.44","8.13","3.97","4.94","0.9","1.4","538.3","18555"
"Cristian Javier","HOU","7","8","4.93","21","21","0","118.0","107","64","23","127","58","1.40","9.73","4.40","5.15","0.9","0.9","243.8","17606"
"Mike Foltynewicz","TEX","5","10","5.54","23","23","0","128.0","140","79","26","103","52","1.50","7.22","3.64","5.59","0.9","0.9","558.1","10811"
"Daniel Norris","DET","4","5","4.19","5","65","1","86.0","84","40","13","84","27","1.29","8.75","2.83","4.25","0.9","1.0","599.7","13475"
"Peter Fairbanks","TBR","4","3","3.41","0","67","15","67.0","52","25","8","86","28","1.20","11.54","3.77","3.55","0.9","0.9","349.5","17998"
"Jorge Lopez","BAL","5","7","5.05","15","40","0","104.0","112","59","18","81","39","1.44","7.02","3.36","5.20","0.8","0.6","600.8","14527"
"James Karinchak","CLE","3","3","3.43","0","64","22","64.0","46","24","7","94","35","1.27","13.26","4.96","3.54","0.8","1.1","101.5","20151"
"Bryse Wilson","","5","4","4.39","10","38","0","82.0","82","40","12","78","29","1.35","8.50","3.14","4.39","0.8","0.8","590.7","19990"
"Tanner Roark","TOR","7","9","5.36","24","24","0","135.0","148","81","26","106","48","1.45","7.08","3.20","5.38","0.8","0.5","592.7","8753"
"Josh Fleming","","5","6","4.35","15","25","0","92.0","98","45","13","65","29","1.38","6.33","2.81","4.62","0.8","1.0","564.8","20418"
"Jose Alvarado","PHI","3","2","3.37","0","58","4","58.0","46","22","6","75","30","1.30","11.69","4.58","3.61","0.8","0.8","496.1","17780"
"Craig Kimbrel","CHC","4","3","3.56","0","65","30","65.0","48","26","8","93","31","1.22","12.83","4.28","3.56","0.8","0.8","167.1","6655"
"Devin Williams","MIL","3","3","3.37","0","65","3","65.0","50","24","7","87","31","1.25","12.03","4.31","3.52","0.8","0.9","184.9","15816"
"Mike Leake","","5","6","4.88","15","15","0","85.0","99","46","14","55","18","1.38","5.84","1.95","4.88","0.8","0.7","600.6","10130"
"Randy Dobnak","MIN","6","7","4.70","15","51","0","115.0","128","60","16","77","36","1.42","6.00","2.78","4.76","0.8","0.9","529.5","23798"
"Taylor Rogers","MIN","3","3","3.57","0","64","11","64.0","57","25","8","73","20","1.20","10.20","2.87","3.64","0.8","0.9","209.2","13449"
"Jordan Hicks","STL","3","2","3.21","0","56","0","56.0","45","20","5","69","27","1.28","11.06","4.35","3.42","0.8","0.9","187.4","19618"
