"Name","Team","W","L","ERA","GS","G","SV","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","RA9-WAR","ADP","playerid"
"Enyel De Los Santos","PHI","0","0","4.66","0","1","0","1.0","1","1","0","1","0","1.37","8.74","3.56","4.85","0.0","0.0","999.0","18403"
"Cody Anderson","SEA","0","0","4.55","0","1","0","1.0","1","1","0","1","0","1.38","8.87","3.82","4.79","0.0","0.0","999.0","12799"
"David Peterson","","0","0","4.66","0","1","0","1.0","1","1","0","1","0","1.46","7.57","3.86","4.77","0.0","0.0","999.0","sa603091"
"Yeizo Campos","NYM","0","0","4.37","0","1","0","1.0","1","0","0","1","0","1.36","8.45","3.55","4.63","0.0","0.0","999.0","sa919234"
"Chase Johnson","SDP","0","0","4.42","0","1","0","1.0","1","0","0","1","0","1.48","7.48","4.25","4.65","0.0","0.0","999.0","sa549740"
"Adam Choplick","","0","0","4.52","0","1","0","1.0","1","1","0","1","1","1.48","8.76","4.70","4.78","0.0","0.0","999.0","sa598307"
"Enderson Franco","","0","0","4.66","0","1","0","1.0","1","1","0","1","0","1.34","8.37","3.12","4.78","0.0","0.0","999.0","11896"
"Cale Coshow","DET","0","0","4.80","0","1","0","1.0","1","1","0","1","1","1.49","8.77","4.70","4.96","0.0","0.0","999.0","sa738313"
"John Sousa","CHW","0","0","4.54","0","1","0","1.0","1","1","0","1","0","1.40","8.34","3.70","4.84","0.0","0.0","999.0","sa913181"
"Justin Grimm","","0","0","4.87","0","1","0","1.0","1","1","0","1","1","1.47","9.18","4.54","4.98","0.0","0.0","999.0","11720"
"Thomas Parsons","STL","0","0","4.44","0","4","0","4.0","4","2","1","3","1","1.29","7.86","2.61","4.64","0.0","0.0","999.0","sa3007624"
"Zach Neal","","0","0","4.73","0","1","0","1.0","1","1","0","1","0","1.38","6.67","2.54","4.78","0.0","0.0","999.0","11294"
"Todd Van Steensel","SDP","0","0","4.47","0","1","0","1.0","1","0","0","1","0","1.41","8.93","4.26","4.65","0.0","0.0","999.0","sa505234"
"Nicholas Wiper","","0","0","4.64","0","1","0","1.0","1","1","0","1","0","1.47","7.74","4.10","4.78","0.0","0.0","999.0","sa599160"
"Matt Hall","","0","0","4.64","0","1","0","1.0","1","1","0","1","0","1.45","8.54","3.95","4.64","0.0","0.0","999.0","18076"
"Parker Bugg","MIA","0","0","4.39","0","1","0","1.0","1","0","0","1","0","1.36","9.23","4.00","4.57","0.0","0.0","999.0","sa738946"
"Chris Volstad","CIN","0","0","4.94","0","1","0","1.0","1","1","0","1","0","1.48","7.05","3.24","4.88","0.0","0.0","999.0","9901"
"Jordan Harrison","","0","0","4.49","0","1","0","1.0","1","0","0","1","1","1.51","8.23","4.77","4.79","0.0","0.0","999.0","sa502697"
"Chad Bell","","0","0","4.58","0","1","0","1.0","1","1","0","1","0","1.41","8.24","3.65","4.79","0.0","0.0","999.0","10297"
"Matt Albers","","0","0","4.72","0","1","0","1.0","1","1","0","1","0","1.45","8.16","3.87","4.79","0.0","0.0","999.0","4300"
"David Hernandez","","0","0","4.69","0","1","0","1.0","1","1","0","1","0","1.38","8.87","3.64","4.79","0.0","0.0","999.0","4259"
"Jonathan Broxton","","0","0","4.71","0","1","0","1.0","1","1","0","1","0","1.46","8.35","4.13","4.79","0.0","0.0","999.0","4759"
"Robert Orlan","","0","0","4.57","0","1","0","1.0","1","1","0","1","0","1.47","8.62","4.44","4.79","0.0","0.0","999.0","sa503562"
"Josh Lueke","","0","0","4.70","0","1","0","1.0","1","1","0","1","0","1.41","7.98","3.56","4.79","0.0","0.0","999.0","5722"
"John Patterson","CHC","0","0","4.52","0","1","0","1.0","1","1","0","1","1","1.51","7.85","4.50","4.72","0.0","0.0","999.0","sa3007860"
"Atahualpa Severino","","0","0","4.56","0","1","0","1.0","1","1","0","1","1","1.47","8.70","4.55","4.79","0.0","0.0","999.0","5332"
"Scott Effross","CHC","0","0","4.70","0","1","0","1.0","1","1","0","1","0","1.46","7.21","3.60","4.72","0.0","0.0","999.0","sa857667"
"Jenrry Mejia","","0","0","4.86","0","1","0","1.0","1","1","0","1","0","1.42","8.29","3.55","4.76","0.0","0.0","999.0","8476"
"Jacob Patterson","STL","0","0","4.26","0","1","0","1.0","1","0","0","1","0","1.39","8.60","4.11","4.65","0.0","0.0","999.0","sa3002777"
"Brad Goldberg","","0","0","4.62","0","1","0","1.0","1","1","0","1","1","1.52","9.09","5.17","4.80","0.0","0.0","999.0","14776"
"Ryan O'Rourke","","0","0","4.50","0","1","0","1.0","1","1","0","1","1","1.47","8.87","4.75","4.80","0.0","0.0","999.0","10976"
"Josh A. Smith","MIA","0","0","4.43","0","1","0","1.0","1","0","0","1","0","1.33","7.92","2.90","4.48","0.0","0.0","999.0","10946"
"Tayler Saucedo","TOR","0","0","4.72","0","1","0","1.0","1","1","0","1","0","1.49","6.43","3.63","4.93","0.0","0.0","999.0","sa875298"
"Luis Vasquez","","0","0","4.63","0","1","0","1.0","1","1","0","1","1","1.50","9.43","5.12","4.80","0.0","0.0","999.0","sa393198"
"Mike Montgomery","","0","0","4.58","0","1","0","1.0","1","1","0","1","0","1.44","6.86","3.27","4.70","0.0","0.0","999.0","4869"
"Craig Brooks","CHC","0","0","4.58","0","1","0","1.0","1","1","0","1","1","1.49","10.29","5.44","4.72","0.0","0.0","999.0","sa875197"
"Zachary Muckenhirn","","0","0","4.71","0","1","0","1.0","1","1","0","1","1","1.52","8.23","5.00","5.17","0.0","0.0","999.0","sa915809"
"Luis Contreras","MIL","0","0","4.60","0","1","0","1.0","1","1","0","1","0","1.41","9.18","4.17","4.72","0.0","0.0","999.0","sa3010362"
