"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS","wOBA","ADP","playerid"
"Seth Brown","OAK","18","75","69","14","3","0","2","7","7","6","25","1","0",".202",".264",".344",".608",".265","600.9","18171"
"Erik Gonzalez","PIT","32","139","129","29","6","1","2","13","12","7","38","2","1",".228",".269",".342",".612",".265","594.3","13369"
"Anthony Bemboom","","8","32","29","6","1","0","1","3","3","3","9","0","0",".202",".272",".331",".603",".265","999.0","13854"
"Sandy Leon","MIA","15","58","52","10","2","0","1","5","5","5","16","0","0",".199",".275",".320",".594",".264","999.0","5273"
"Gregory Deichmann","OAK","3","14","12","2","1","0","0","1","1","1","5","0","0",".193",".263",".339",".602",".264","999.0","sa3004977"
"Keon Broxton","MIN","6","28","25","5","1","0","1","3","2","3","12","1","0",".184",".266",".329",".595",".263","999.0","9253"
"Bubba Starling","KCR","3","14","13","3","1","0","0","1","1","1","4","0","0",".213",".265",".336",".601",".263","999.0","13356"
"Monte Harrison","","5","21","19","4","1","0","1","2","2","1","8","1","0",".200",".266",".330",".596",".263","598.9","17216"
"Tomas Nido","NYM","45","181","169","37","7","0","4","17","19","9","47","0","0",".218",".262",".341",".603",".261","600.8","13755"
"Drew Butera","TEX","6","25","23","5","1","0","1","2","2","2","7","0","0",".204",".272",".321",".593",".261","999.0","3411"
"Aramis Garcia","OAK","42","163","150","30","6","0","5","15","16","10","57","0","0",".200",".258",".339",".597",".260","600.1","16925"
"Ronald Torreyes","PHI","11","50","47","11","2","0","1","5","5","2","7","0","0",".235",".270",".325",".595",".259","999.0","11400"
"Jorge Mateo","SDP","19","86","80","17","4","1","2","9","7","5","28","3","1",".211",".258",".343",".600",".259","600.2","17273"
"Adolis Garcia","TEX","26","109","102","21","4","0","4","11","11","5","38","2","1",".201",".245",".360",".604",".259","598.2","19287"
"Albert Pujols","LAA","89","383","362","77","14","0","13","36","43","16","60","1","0",".211",".245",".359",".605",".259","579.6","1177"
"Luke Maile","","6","27","24","5","1","0","1","2","2","2","7","0","0",".201",".268",".317",".585",".259","999.0","13355"
"Billy Hamilton","CHW","11","48","44","9","2","0","0","6","3","4","12","3","1",".215",".282",".296",".578",".258","599.3","10199"
"Nick Heath","","5","21","18","4","1","0","0","2","1","2","7","1","0",".208",".278",".300",".578",".258","999.0","19577"
"Jose Siri","HOU","11","49","45","9","2","0","1","5","5","3","19","1","0",".201",".252",".344",".596",".258","999.0","sa736940"
"Jose Trevino","TEX","91","350","328","71","14","0","8","29","33","17","70","0","0",".217",".258",".332",".590",".256","553.1","16725"
"Caleb Joseph","NYM","3","13","12","3","0","0","0","1","1","1","4","0","0",".209",".257",".319",".576",".253","999.0","7087"
"Michael Reed","OAK","11","48","44","9","2","0","1","5","4","3","17","1","0",".194",".255",".321",".576",".251","999.0","sa738683"
"Trayce Thompson","ARI","23","99","91","16","3","1","3","10","10","7","39","1","0",".175",".238",".322",".559",".243","999.0","9952"
