"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS","wOBA","ADP","playerid"
"Chris Owings","COL","28","119","109","26","5","1","3","14","12","7","35","3","1",".235",".287",".386",".673",".290","599.1","10030"
"Pablo Reyes","MIL","2","7","6","1","0","0","0","1","1","1","2","0","0",".231",".292",".376",".668",".290","999.0","16357"
"Dom Nunez","COL","62","242","215","45","10","1","8","26","27","23","70","2","1",".210",".293",".373",".666",".290","580.3","15055"
"Jaylin Davis","SFG","3","14","13","3","1","0","0","2","2","1","5","0","0",".222",".291",".377",".668",".289","999.0","19552"
"Kyle Farmer","CIN","44","191","176","41","10","1","5","21","21","12","46","2","1",".233",".288",".383",".670",".289","596.5","14813"
"Josh Fuentes","COL","105","454","425","103","24","3","11","47","50","19","129","2","1",".243",".282",".392",".674",".289","547.8","16885"
"Jesus Sanchez","MIA","2","7","6","2","0","0","0","1","1","0","2","0","0",".237",".290",".379",".669",".289","601.0","19913"
"Kevan Smith","TBR","13","50","46","11","2","0","1","5","5","3","10","0","0",".242",".305",".351",".656",".289","999.0","12284"
"Mike Zunino","TBR","92","360","322","63","12","0","17","39","48","29","133","0","0",".195",".274",".395",".668",".289","571.2","13265"
"Luis Torrens","SEA","75","285","260","61","13","1","7","28","28","21","61","1","0",".235",".296",".369",".665",".289","562.7","15905"
"Albert Almora Jr.","NYM","39","170","157","39","7","0","4","18","18","10","32","1","0",".248",".294",".376",".671",".289","600.7","14109"
"Luis Garcia","","50","221","208","54","10","1","4","24","23","10","43","3","1",".260",".295",".373",".668",".289","588.9","20391"
"Martin Maldonado","HOU","94","370","325","69","12","1","12","40","41","31","103","1","0",".211",".295",".362",".656",".289","549.1","6887"
"Marcus Wilson","","2","7","6","1","0","0","0","1","1","1","3","0","0",".216",".289",".373",".662",".288","999.0","sa828703"
"Justin Williams","STL","50","219","202","47","9","1","6","23","23","15","58","1","1",".235",".291",".374",".665",".288","600.7","15490"
"Rodolfo Castro","","6","28","25","6","1","0","1","3","3","2","8","0","0",".224",".280",".394",".674",".288","999.0","sa917362"
"Kyle Isbel","KCR","57","240","220","52","11","2","6","27","24","16","61","6","2",".234",".289",".377",".666",".288","999.0","sa3006861"
"Steven Duggar","","16","70","63","15","3","0","1","8","6","6","21","1","0",".232",".301",".354",".655",".288","999.0","17719"
"Robel Garcia","HOU","28","119","106","21","5","1","5","14","14","11","44","1","0",".201",".279",".389",".667",".288","999.0","13167"
"Myles Straw","HOU","130","558","501","125","21","3","4","67","39","49","126","27","6",".250",".319",".327",".645",".288","261.3","17620"
"Orlando Arcia","MIL","110","486","447","108","19","1","12","50","53","33","98","7","3",".241",".294",".374",".668",".288","576.2","13185"
"Shed Long","SEA","55","231","208","47","9","1","6","25","21","19","65","4","1",".224",".294",".363",".657",".288","599.8","16542"
"Isiah Kiner-Falefa","TEX","146","613","556","138","24","3","8","64","49","41","109","12","5",".248",".307",".345",".653",".288","305.5","16512"
"Bret Boswell","COL","6","28","26","6","1","0","1","3","3","2","9","0","0",".222",".277",".394",".671",".287","999.0","sa918769"
"Tucupita Marcano","SDP","15","65","60","15","3","0","1","7","6","4","8","1","0",".255",".304",".354",".659",".287","999.0","sa3002857"
"Jake Fraley","SEA","19","82","74","17","4","0","2","9","8","6","22","2","1",".224",".286",".379",".666",".287","600.8","19260"
"Chris Herrmann","","5","19","17","3","1","0","0","2","2","2","6","0","0",".209",".299",".352",".651",".287","999.0","9284"
"Joshua Palacios","TOR","11","49","44","10","2","0","1","6","4","4","14","1","0",".231",".301",".352",".653",".287","999.0","sa829562"
"Jeffrey Bleday","MIA","3","14","13","3","1","0","0","1","1","1","4","0","0",".225",".289",".374",".663",".287","999.0","sa3011642"
"Jake Marisnick","CHC","70","305","275","59","12","1","11","36","32","20","99","8","3",".215",".279",".386",".664",".287","600.5","11339"
"Blaze Tom","OAK","44","185","165","36","8","1","5","20","17","16","52","2","1",".217",".293",".365",".658",".287","999.0","sa875069"
"Lucas Raley","","2","7","7","1","0","0","0","1","1","0","2","0","0",".220",".288",".370",".658",".287","999.0","sa918048"
"Franklin Barreto","LAA","28","118","108","23","5","0","4","14","13","8","41","2","1",".216",".279",".384",".663",".286","600.9","15519"
"Phillip Evans","PIT","78","332","301","69","15","1","7","32","32","25","64","2","1",".231",".297",".354",".651",".286","600.9","12950"
"Hanser Alberto","KCR","76","322","304","80","15","1","5","31","33","11","39","3","1",".265",".293",".369",".662",".286","585.0","11902"
"Jose Peraza","NYM","3","14","13","3","1","0","0","2","1","1","2","0","0",".253",".298",".361",".659",".286","999.0","13593"
"Santiago Espinal","TOR","8","35","32","8","2","0","1","4","3","2","7","0","0",".247",".298",".359",".657",".286","999.0","19997"
"Hernan Perez","WSN","16","71","66","16","3","0","2","8","8","4","17","1","0",".238",".281",".384",".665",".286","999.0","5751"
"Tres Barrera","","2","6","6","1","0","0","0","1","1","0","1","0","0",".231",".292",".363",".655",".286","999.0","19977"
"Brock Holt","TEX","91","381","338","79","14","2","4","38","29","36","85","3","1",".234",".314",".324",".639",".286","600.1","9345"
"Yolmer Sanchez","","3","14","12","3","1","0","0","1","1","1","3","0","0",".238",".303",".344",".648",".286","599.8","11602"
"Taylor Jones","HOU","6","28","25","5","1","0","1","3","3","3","8","0","0",".215",".295",".357",".651",".286","999.0","19533"
"Ildemaro Vargas","","28","121","112","28","6","1","2","12","12","7","16","1","0",".251",".297",".356",".654",".286","999.0","13324"
"Jorge Ona","SDP","2","7","7","1","0","0","0","1","1","1","2","0","0",".224",".291",".365",".656",".286","999.0","20040"
"Khalil Lee","NYM","2","7","6","1","0","0","0","1","1","1","2","0","0",".214",".302",".340",".642",".286","601.0","sa917996"
"Akil Baddoo","DET","55","233","207","43","9","2","7","26","23","23","73","4","1",".206",".288",".366",".654",".285","999.0","sa917953"
"Edward Olivares","","31","130","121","29","6","1","3","14","13","7","29","3","1",".238",".286",".375",".661",".285","593.4","19698"
"Michael A. Taylor","KCR","70","295","268","59","13","1","9","33","31","22","91","8","3",".222",".283",".378",".662",".285","555.6","11489"
"Andy Ibanez","TEX","15","61","56","13","3","0","1","6","6","4","12","1","0",".232",".291",".365",".656",".285","999.0","sa914201"
"Anderson Tejeda","TEX","15","61","56","12","3","0","2","7","6","4","22","1","0",".219",".277",".386",".663",".285","598.0","19909"
"Travis Blankenhorn","","3","14","13","3","1","0","0","2","1","1","4","0","0",".220",".280",".381",".660",".285","598.5","18395"
"Gerardo Parra","WSN","11","50","46","11","2","0","1","5","5","3","10","1","0",".242",".299",".354",".653",".285","999.0","8553"
"Adam Engel","CHW","75","318","289","65","14","2","8","36","30","19","90","7","2",".224",".285",".368",".653",".285","593.8","15082"
"Luis Gonzalez","","5","21","19","4","1","0","0","2","2","2","5","0","0",".226",".292",".359",".651",".284","999.0","20332"
"Kevin Smith","TOR","2","7","6","1","0","0","0","1","1","0","3","0","0",".215",".266",".400",".666",".284","999.0","sa915864"
"Danny Mendick","","15","62","56","13","2","0","1","6","6","5","14","1","0",".229",".294",".352",".646",".284","600.9","18889"
"Jose Marmolejos","SEA","28","116","106","24","5","0","3","11","12","8","31","0","0",".225",".283",".373",".656",".284","599.9","15767"
"Ehire Adrianza","ATL","52","227","203","47","10","1","4","24","21","18","50","2","1",".232",".300",".346",".646",".284","600.2","8418"
"Deivy Grullon","","5","19","18","4","1","0","1","2","2","1","6","0","0",".219",".276",".383",".658",".284","598.5","15988"
"Lucius Fox","","6","27","25","6","1","0","0","3","2","2","7","1","0",".232",".304",".334",".639",".283","999.0","sa914200"
