"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS","wOBA","ADP","playerid"
"Marcus Semien","Athletics","56","246","218","59","13","1","9","36","28","25","40","4","2",".269",".346",".459",".805",".341","97.7","12533"
"Bryan Reynolds","Pirates","54","225","202","58","12","1","6","30","26","19","49","2","1",".285",".349",".455",".805",".341","191.1","19326"
"Brandon Nimmo","Mets","47","186","152","36","8","1","6","25","18","28","50","2","1",".238",".368",".419",".786",".341","390.0","12927"
"Jose Abreu","White Sox","55","235","214","60","12","1","11","30","37","13","49","1","0",".278",".331",".489",".821",".341","76.6","15676"
"J.D. Davis","Mets","50","191","173","47","9","0","9","25","25","16","44","1","0",".273",".335",".476",".811",".340","159.0","16219"
"Nate Lowe","Rays","24","95","83","22","4","0","4","12","13","10","23","0","0",".267",".348",".456",".804",".340","557.8","19566"
"Carson Kelly","Diamondbacks","43","156","134","34","7","0","7","18","19","17","31","0","0",".252",".342",".461",".803",".339","207.7","13620"
"Starling Marte","Marlins","51","221","204","58","11","2","8","33","27","11","39","10","3",".285",".335",".473",".807",".339","27.8","9241"
"Yoshitomo Tsutsugo","Rays","42","172","149","38","7","0","7","22","23","20","42","1","0",".253",".345",".456",".801",".339","425.5","27459"
"J.T. Realmuto","Phillies","51","208","189","52","11","1","9","31","29","14","42","3","1",".275",".332",".480",".812",".339","44.0","11739"
"Jorge Polanco","Twins","55","240","216","61","13","2","7","33","29","20","40","2","1",".281",".342",".463",".805",".339","160.3","13152"
"Eddie Rosario","Twins","51","214","202","57","11","1","11","31","34","10","35","2","1",".281",".313",".508",".821",".338","99.9","12155"
"Luis Arraez","Twins","50","205","185","58","11","1","2","26","19","18","17","1","1",".312",".371",".414",".784",".338","252.4","18568"
"Andrew Benintendi","Red Sox","54","237","208","57","14","2","7","32","28","24","47","5","2",".274",".351",".450",".801",".338","122.5","17901"
"Matt Carpenter","Cardinals","47","195","164","39","9","1","7","26","22","27","48","1","1",".239",".352",".442",".794",".338","421.2","8090"
"Domingo Santana","Indians","43","173","152","39","8","0","8","21","22","19","55","2","1",".254",".339",".461",".800",".338","306.7","10348"
