"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS","wOBA","ADP","playerid"
"Tyler Naquin","Indians","30","113","104","28","6","0","3","14","14","6","26","1","1",".272",".315",".435",".750",".315","593.7","13359"
"Johan Camargo","Braves","34","122","112","30","6","0","4","15","15","9","24","0","0",".264",".320",".426",".746",".315","573.7","14950"
"Sam Hilliard","Rockies","43","172","156","39","8","1","7","22","21","13","53","4","2",".246",".308",".441",".749",".315","249.9","17954"
"Rougned Odor","Rangers","51","206","186","42","9","1","11","26","28","16","57","4","3",".229",".298",".461",".759",".315","231.5","12282"
"Jaylin Davis","Giants","19","73","66","16","3","0","3","9","9","6","21","1","0",".245",".318",".421",".739",".315","601.0","19552"
"Adam Haseley","Phillies","36","143","129","34","6","1","4","17","15","11","30","2","1",".262",".326",".411",".737",".315","585.4","19878"
"David Bote","Cubs","33","117","103","25","5","0","4","14","14","12","31","1","0",".245",".327",".408",".735",".315","585.6","14593"
"Byron Buxton","Twins","47","179","163","41","11","2","6","25","22","12","46","8","2",".253",".308",".444",".753",".315","165.5","14161"
"Oscar Mercado","Indians","52","221","199","52","11","1","6","29","23","15","42","8","3",".264",".322",".418",".740",".315","125.1","16375"
"Andrew Knizner","Cardinals","6","22","20","5","1","0","1","2","2","2","4","0","0",".254",".313",".429",".742",".315","600.0","19514"
"Bobby Dalbec","Red Sox","12","50","45","10","2","0","2","6","7","5","17","0","0",".233",".310",".435",".745",".315","599.9","19966"
"Enrique Hernandez","Dodgers","38","141","125","30","6","1","5","19","18","13","29","1","0",".242",".317",".429",".746",".315","564.7","10472"
"Joey Bart","Giants","13","53","49","13","4","0","1","5","5","4","14","0","0",".258",".316",".424",".740",".314","553.3","21524"
"Wil Myers","Padres","49","187","166","40","9","1","7","22","22","19","58","6","2",".238",".318",".424",".741",".314","240.2","10047"
"Raimel Tapia","Rockies","43","160","150","42","9","2","3","20","17","8","33","4","1",".278",".318",".428",".746",".314","551.4","14350"
"Jackie Bradley Jr.","Red Sox","49","192","169","40","10","1","7","24","23","18","51","3","1",".235",".320",".420",".740",".314","567.5","12984"
"Aledmys Diaz","Astros","25","96","86","22","5","0","3","12","12","7","13","1","0",".260",".320",".422",".743",".314","590.0","15937"
"Dominic Smith","Mets","34","118","108","27","6","0","5","15","14","9","29","0","0",".245",".306",".438",".744",".314","561.5","15653"
"Colin Moran","Pirates","50","187","171","46","9","0","5","19","24","13","40","0","0",".267",".321",".418",".739",".314","573.4","16909"
"Jeimer Candelario","Tigers","43","177","155","36","9","1","5","20","18","19","44","1","0",".233",".323",".407",".730",".313","586.2","13621"
"Harrison Bader","Cardinals","47","169","149","35","7","1","6","23","18","15","48","5","2",".235",".319",".417",".736",".313","561.3","18030"
"Eric Hosmer","Padres","55","230","211","55","10","1","7","26","31","18","52","1","1",".262",".320",".419",".739",".313","253.7","3516"
"Jake Bauers","Indians","27","104","90","21","5","0","3","13","13","12","27","2","1",".237",".328",".400",".727",".313","590.8","15194"
"Yonder Alonso","Padres","9","33","29","7","1","0","1","4","4","4","7","0","0",".240",".325",".411",".736",".313","600.5","2530"
"Kyle Seager","Mariners","51","212","191","46","10","1","9","23","28","18","42","1","1",".241",".310",".437",".746",".313","433.9","9785"
"Francisco Mejia","Padres","41","151","139","36","8","1","5","17","18","9","32","1","0",".258",".309",".439",".748",".313","236.3","16403"
"Josh Reddick","Astros","43","169","153","41","7","1","5","20","19","13","23","1","1",".266",".322",".417",".738",".313","575.3","3892"
"Derek Dietrich","Rangers","8","23","21","5","1","0","1","3","3","2","6","0","0",".243",".328",".406",".733",".312","600.4","10542"
"Stephen Vogt","Diamondbacks","28","101","91","23","5","1","4","11","13","8","21","1","0",".249",".306",".441",".747",".312","563.7","5000"
"Ryan Mountcastle","Orioles","29","119","112","30","6","0","5","14","15","5","29","1","0",".266",".299",".450",".749",".312","556.8","18373"
"Matt Thaiss","Angels","16","61","55","13","3","0","2","7","7","6","15","0","0",".242",".317",".414",".731",".312","600.8","19318"
"Ryan O'Hearn","Royals","33","130","116","26","6","0","5","14","16","13","35","0","0",".229",".309",".427",".736",".312","591.2","16442"
"Phillip Ervin","Mariners","24","89","80","20","4","1","3","11","10","7","21","2","1",".248",".318",".413",".732",".312","600.7","14738"
"Anthony Santander","Orioles","50","207","192","49","11","1","9","23","27","10","42","1","1",".254",".295",".453",".748",".311","453.8","14551"
"Ryan McBroom","Royals","19","74","67","17","3","0","2","8","8","5","18","0","0",".259",".319",".409",".729",".311","598.5","16524"
"Ronald Guzman","Rangers","33","125","112","27","6","0","5","14","15","11","34","0","0",".241",".313",".421",".735",".311","598.1","14388"
"Eric Sogard","Brewers","35","138","122","32","6","0","3","16","12","13","21","2","1",".262",".337",".384",".721",".311","582.7","7927"
"Lane Thomas","Cardinals","22","76","68","16","3","1","2","9","9","6","21","2","1",".240",".313",".416",".729",".311","595.5","16939"
"Brad Miller","Cardinals","25","91","81","19","4","0","4","11","12","9","25","1","0",".235",".315",".426",".741",".311","600.9","12775"
"Austin Slater","Giants","15","57","51","13","2","0","1","6","6","6","16","1","0",".251",".335",".379",".714",".311","999.0","16153"
"Brock Holt","Nationals","28","102","89","23","4","0","2","12","10","10","21","1","0",".260",".343",".369",".712",".311","599.0","9345"
"Ronny Rodriguez","","18","76","71","17","4","0","4","9","10","4","19","1","0",".247",".282",".473",".755",".311","525.3","11875"
"Nick Madrigal","White Sox","40","168","153","43","8","1","2","20","16","11","11","6","3",".284",".337",".385",".722",".310","333.2","20521"
"Tyler White","","6","23","20","5","1","0","1","2","3","2","6","0","0",".241",".322",".402",".724",".310","999.0","15564"
"Adam Duvall","Braves","22","84","76","17","4","0","4","11","12","6","23","0","0",".229",".292",".455",".748",".310","583.5","10950"
"Mark Trumbo","","7","25","23","6","1","0","1","3","4","2","6","0","0",".240",".296",".442",".738",".310","999.0","6876"
"Ben Gamel","Brewers","27","97","87","22","5","0","2","12","9","10","24","1","0",".258",".335",".382",".717",".310","999.0","12160"
"Alex Avila","Twins","15","55","46","10","2","0","2","6","6","8","18","0","0",".213",".336",".378",".714",".310","596.9","7476"
"Kevin Newman","Pirates","50","210","195","55","10","1","3","24","20","12","27","6","3",".280",".326",".397",".723",".309","195.9","17696"
"Niko Goodrum","Tigers","48","198","179","44","10","1","6","24","21","17","56","5","2",".243",".311",".416",".728",".309","283.6","12092"
"Evan Longoria","Giants","47","193","176","44","9","1","7","21","24","13","40","1","0",".251",".307",".429",".737",".309","566.0","9368"
"Logan Morrison","","16","56","50","11","2","0","3","7","8","5","13","0","0",".229",".309",".435",".744",".309","600.2","9205"
"Amed Rosario","Mets","56","223","209","57","10","2","5","26","23","11","43","7","3",".275",".312",".418",".730",".309","138.7","15518"
"Danny Santana","Rangers","52","199","184","46","10","2","8","27","26","10","57","7","3",".252",".297",".445",".742",".309","139.4","10322"
"Jonathan Villar","Blue Jays","54","226","204","52","9","1","6","29","21","19","60","13","3",".256",".321",".400",".721",".309","41.4","10071"
"Derek Fisher","Blue Jays","35","124","109","25","5","1","5","16","14","13","42","3","1",".227",".315",".411",".726",".309","598.6","16192"
"Evan White","Mariners","46","189","172","44","7","1","6","22","22","13","47","1","0",".254",".311",".419",".730",".309","416.9","20078"
"Maikel Franco","Royals","42","161","147","37","8","0","6","18","21","11","22","0","0",".250",".304",".436",".741",".309","529.1","12179"
"Kevin Pillar","Rockies","36","145","137","37","9","0","5","19","18","5","23","3","1",".268",".300",".435",".736",".308","548.0","12434"
"Tyler Flowers","Braves","30","111","97","22","4","0","4","12","12","11","33","0","0",".232",".326",".385",".711",".308","579.8","9134"
"Ender Inciarte","Braves","42","167","150","40","7","1","3","21","16","14","25","5","2",".267",".332",".387",".719",".308","489.3","4922"
"Austin Hays","Orioles","48","198","185","47","10","1","8","23","24","10","43","3","2",".252",".294",".444",".737",".308","271.5","19363"
"Jedd Gyorko","Brewers","26","87","78","19","3","0","3","10","11","8","19","1","0",".243",".318",".404",".723",".308","599.8","10816"
"Dwight Smith Jr.","Orioles","24","96","86","21","5","0","3","11","11","7","19","1","0",".249",".313",".410",".723",".308","600.6","13473"
"Neil Walker","Phillies","18","72","64","15","3","0","2","8","9","8","15","0","0",".243",".324",".393",".717",".308","599.7","7539"
"Christian Vazquez","Red Sox","44","165","153","40","8","0","5","19","19","10","31","2","1",".262",".309",".417",".727",".308","203.6","9774"
"Jason Kipnis","Cubs","32","131","117","29","6","0","4","14","15","11","24","2","0",".245",".315",".406",".722",".308","584.5","9776"
"Harold Ramirez","Marlins","33","130","122","33","6","1","3","15","14","6","25","1","0",".271",".315",".408",".723",".308","599.1","14387"
"Brian Goodwin","Reds","35","127","115","27","6","1","5","16","14","10","36","2","1",".239",".306",".425",".731",".308","585.8","12858"
"Russell Martin","","9","35","30","6","1","0","1","4","4","5","8","0","0",".218",".337",".357",".694",".307","999.0","4616"
"Ryon Healy","Brewers","23","90","83","21","4","0","4","10","12","5","20","0","0",".253",".297",".436",".733",".307","600.9","15447"
"Jake Lamb","Diamondbacks","34","129","111","25","5","1","4","16","17","15","33","1","0",".228",".326",".404",".730",".307","537.7","13329"
"Robbie Grossman","Athletics","29","112","96","24","5","0","2","13","11","14","20","1","0",".249",".344",".352",".696",".307","599.1","5254"
"Travis d'Arnaud","Braves","36","137","125","32","6","0","5","16","20","10","28","0","0",".254",".314",".428",".741",".307","253.8","7739"
"Jed Lowrie","Mets","13","44","39","10","2","0","1","5","5","5","10","0","0",".248",".328",".401",".728",".307","600.6","4418"
"Jo Adell","Angels","29","125","114","28","7","0","4","16","14","9","36","2","1",".249",".307",".418",".725",".307","304.1","20220"
"Andrelton Simmons","Angels","47","194","179","49","9","1","4","22","21","12","17","4","1",".275",".321",".396",".717",".307","521.8","10847"
"Alex Gordon","Royals","45","181","161","40","8","0","4","20","20","15","35","2","1",".251",".328",".381",".710",".307","584.9","5209"
"Curt Casali","Reds","23","81","70","17","3","0","3","8","9","8","19","0","0",".243",".320",".396",".716",".306","597.6","12510"
"Franchy Cordero","Royals","41","149","134","33","6","1","5","18","17","11","50","4","1",".243",".300",".432",".732",".306","491.3","14567"
"Odubel Herrera","","10","39","35","9","2","0","1","4","4","3","9","1","0",".256",".315",".422",".737",".306","600.7","11476"
"Salvador Perez","Royals","45","177","166","41","8","0","8","19","24","6","36","0","0",".250",".288",".448",".736",".306","161.5","7304"
"Ke'Bryan Hayes","Pirates","28","114","103","26","6","1","2","13","11","9","23","2","1",".255",".324",".383",".707",".306","586.3","18577"
"Scott Heineman","Rangers","12","48","44","11","2","0","1","6","5","4","13","1","0",".248",".320",".388",".708",".306","999.0","14453"
"Scott Kingery","Phillies","51","201","185","46","10","1","7","25","22","12","54","6","2",".246",".299",".424",".723",".305","168.0","17975"
"Elias Diaz","Rockies","18","65","60","16","3","0","2","7","7","4","11","0","0",".265",".315",".399",".714",".305","599.9","11680"
"Travis Demeritte","Tigers","27","107","96","22","5","1","4","13","12","10","33","1","0",".231",".303",".415",".718",".305","601.0","15958"
"Mark Reynolds","","10","27","23","5","1","0","1","3","3","3","9","0","0",".214",".306",".408",".715",".305","999.0","7619"
"Hunter Pence","","29","112","102","26","4","1","3","13","14","8","26","1","1",".254",".308",".411",".719",".305","573.2","8252"
"David Fletcher","Angels","47","196","180","50","10","1","2","24","17","13","21","3","1",".278",".330",".373",".704",".304","384.0","17992"
"Shed Long","Mariners","43","176","160","39","8","1","5","21","17","15","46","3","1",".244",".313",".396",".710",".304","544.9","16542"
"Chris Owings","Rockies","9","32","29","7","2","0","1","4","4","2","10","1","0",".248",".298",".424",".722",".304","999.0","10030"
"James McCann","White Sox","26","104","95","23","4","0","4","12","12","7","28","1","0",".245",".302",".413",".715",".304","464.0","12859"
"Greg Garcia","Padres","25","79","67","16","3","0","1","9","6","10","17","0","0",".239",".343",".341",".684",".304","999.0","10951"
"Austin Allen","Athletics","23","82","76","19","4","0","3","9","10","5","20","0","0",".246",".302",".415",".717",".304","574.5","18083"
"Mark Payton","Reds","6","23","21","5","1","0","1","3","3","2","5","0","0",".245",".311",".400",".711",".304","999.0","16042"
"Jorge Alfaro","Marlins","45","169","155","38","6","0","6","16","19","9","56","1","1",".248",".303",".414",".717",".304","218.3","12180"
"Francisco Cervelli","Marlins","24","91","78","18","3","0","2","9","9","9","22","0","0",".235",".332",".359",".690",".304","597.9","5275"
"Christian Arroyo","Red Sox","6","22","20","5","1","0","1","3","3","2","5","0","0",".252",".308",".414",".722",".304","999.0","16434"
"Manuel Margot","Rays","38","144","131","33","6","1","4","18","15","11","27","6","2",".250",".309",".406",".714",".304","564.2","14712"
"Hanser Alberto","Orioles","52","206","194","55","9","1","4","22","20","6","20","1","1",".284",".309",".407",".716",".303","506.3","11902"
"Jarred Kelenic","Mariners","10","43","39","9","2","0","2","5","6","3","9","1","0",".240",".296",".426",".722",".303","583.9","sa3007741"
"Chad Pinder","Athletics","24","85","77","19","4","0","3","10","10","5","22","0","0",".244",".303",".411",".714",".303","597.7","15191"
"Nick Ahmed","Diamondbacks","54","214","194","48","11","2","6","25","26","17","40","2","1",".247",".306",".413",".719",".303","547.2","12147"
"Kevin Plawecki","Red Sox","14","53","47","11","2","0","1","6","6","4","10","0","0",".244",".319",".388",".707",".303","600.5","13807"
"Scooter Gennett","","9","35","33","8","2","0","1","4","4","2","8","0","0",".255",".297",".428",".725",".303","598.0","10339"
"Tim Beckham","","15","61","56","13","3","0","2","7","7","4","18","0","0",".239",".293",".424",".717",".303","600.6","7949"
"Reese McGuire","Blue Jays","27","101","92","22","5","0","3","11","11","8","20","1","0",".243",".308",".400",".708",".303","582.9","15674"
"Yan Gomes","Nationals","34","129","117","28","6","0","5","14","16","10","32","0","0",".237",".306",".404",".710",".303","540.6","9627"
"Jose Peraza","Red Sox","40","152","142","39","7","1","3","17","15","7","20","4","2",".274",".315",".392",".708",".302","298.0","13593"
"Jake Fraley","Mariners","47","185","171","42","10","1","6","20","21","11","48","4","2",".244",".299",".413",".713",".302","539.9","19260"
"Jon Berti","Marlins","37","147","132","33","6","1","3","19","12","12","34","8","2",".248",".322",".372",".695",".302","247.1","12037"
"Pablo Sandoval","Giants","21","75","69","17","4","0","3","9","9","5","16","0","0",".244",".296",".421",".717",".302","596.7","5409"
"Jared Walsh","Angels","5","21","19","4","1","0","1","3","2","2","7","0","0",".224",".299",".410",".709",".302","600.8","18607"
"Ehire Adrianza","Twins","19","66","59","15","3","0","1","8","7","5","12","0","0",".260",".319",".390",".708",".302","596.0","8418"
"Nico Hoerner","Cubs","32","136","126","34","6","1","2","17","14","8","17","2","1",".271",".317",".390",".707",".301","555.3","21479"
"Mauricio Dubon","Giants","49","198","187","50","9","1","5","22","19","9","32","5","2",".265",".303",".407",".711",".301","367.4","16530"
"Manny Pina","Brewers","29","96","87","21","4","0","3","10","11","7","22","0","0",".244",".307",".399",".706",".301","599.6","2829"
"Elvis Andrus","Rangers","55","235","218","58","12","1","5","29","24","14","36","9","3",".267",".312",".395",".707",".301","148.8","8709"
"Franklin Barreto","Angels","29","113","104","25","5","1","4","15","13","7","37","2","1",".235",".295",".416",".711",".301","577.2","15519"
"Yadier Molina","Cardinals","40","160","148","39","7","0","4","17","20","9","22","2","1",".263",".309",".403",".712",".301","232.1","7007"
"Matt Kemp","Rockies","12","47","43","11","2","0","2","5","6","3","11","0","0",".260",".300",".433",".733",".300","590.2","5631"
"Luis Rengifo","Angels","18","72","64","16","3","0","1","8","7","6","15","1","1",".244",".319",".375",".694",".300","599.5","19858"
"Zack Collins","White Sox","8","32","27","6","1","0","1","4","4","5","11","0","0",".209",".331",".345",".676",".300","600.9","19181"
"Pablo Reyes","","23","68","63","15","3","0","2","7","7","6","13","1","1",".245",".310",".387",".697",".300","999.0","16357"
"Isan Diaz","Marlins","46","189","167","38","8","1","6","21","21","19","53","2","1",".229",".310",".389",".699",".300","584.0","17922"
"Alex Blandino","Reds","7","26","22","5","1","0","1","3","2","3","7","0","0",".226",".331",".348",".679",".300","999.0","16271"
"Roberto Perez","Indians","42","156","136","30","5","0","6","16","19","16","46","0","0",".221",".305",".395",".699",".299","290.0","2900"
"Joe Panik","Blue Jays","21","83","74","19","4","0","1","9","8","7","8","1","0",".263",".327",".369",".695",".299","999.0","11936"
"Billy McKinney","Blue Jays","13","51","46","11","2","0","2","6","6","4","12","0","0",".233",".296",".412",".708",".299","999.0","15654"
"Jason Castro","Padres","39","144","126","28","5","0","5","17","16","16","45","0","0",".221",".313",".380",".693",".299","390.7","8722"
"Tucker Barnhart","Reds","42","152","133","32","7","0","3","15","16","16","31","0","0",".243",".328",".374",".702",".299","484.7","10200"
"Myles Straw","Astros","24","82","73","19","3","1","0","11","7","8","16","5","1",".263",".339",".336",".676",".299","579.1","17620"
"JaCoby Jones","Tigers","44","169","153","36","8","1","5","21","16","12","50","4","1",".233",".301",".399",".700",".299","589.3","14818"
"Adalberto Mondesi","Royals","50","210","195","49","10","3","6","27","25","10","59","18","4",".251",".287",".428",".715",".299","31.4","13769"
"Ben Zobrist","","6","24","21","6","1","0","0","3","2","3","3","0","0",".263",".338",".347",".685",".298","999.0","7435"
"Tony Kemp","Athletics","28","97","86","21","4","1","2","11","10","8","15","2","1",".245",".317",".373",".690",".298","594.9","14894"
"Tim Locastro","Diamondbacks","20","70","64","16","4","0","1","9","6","4","13","4","1",".251",".316",".371",".687",".298","598.8","15124"
"Austin Barnes","Dodgers","24","80","70","16","4","0","2","10","8","8","19","1","0",".224",".320",".364",".684",".298","586.6","12158"
"Lucas Duda","","5","22","19","4","1","0","1","2","3","2","6","0","0",".221",".305",".411",".716",".298","999.0","2502"
"Jonathan Lucroy","Red Sox","10","36","33","8","2","0","1","4","4","3","5","0","0",".252",".313",".390",".703",".298","596.6","7870"
"Victor Reyes","Tigers","43","165","156","43","8","1","3","20","16","7","33","5","2",".273",".305",".397",".702",".298","555.6","15487"
"Austin Nola","Padres","30","115","103","25","5","0","3","12","12","10","25","1","0",".243",".317",".369",".686",".298","573.3","15941"
"Donovan Solano","Giants","20","75","69","19","4","0","1","7","7","4","13","0","0",".269",".313",".383",".695",".298","600.4","8623"
"Rio Ruiz","Orioles","39","147","132","32","6","1","4","15","16","13","33","0","0",".240",".309",".394",".702",".298","591.0","14103"
"Jordy Mercer","Yankees","17","68","62","16","3","0","2","7","7","5","13","0","0",".252",".311",".401",".712",".298","999.0","6547"
"Roman Quinn","Phillies","23","83","75","18","3","1","1","10","8","7","22","5","1",".243",".316",".371",".687",".297","560.4","13546"
"Kevin Kiermaier","Rays","45","179","164","39","7","2","5","22","19","12","40","6","2",".240",".299",".404",".703",".297","501.2","11038"
"Willi Castro","Tigers","23","92","84","21","5","1","1","10","9","5","21","1","1",".256",".307",".391",".698",".297","600.8","17338"
"Zack Cozart","","11","43","38","9","2","0","1","5","5","3","7","0","0",".243",".309",".385",".694",".297","999.0","2616"
"Jung Ho Kang","","8","27","24","5","1","0","1","3","4","2","8","0","0",".224",".285",".419",".704",".297","999.0","17182"
"Ildemaro Vargas","Cubs","13","49","46","13","2","0","1","5","5","2","5","0","0",".276",".310",".384",".694",".297","600.3","13324"
"Nicky Lopez","Royals","43","175","160","43","7","1","2","19","14","12","20","2","1",".267",".322",".363",".685",".297","574.2","19339"
"Tyler Heineman","Giants","24","86","77","19","4","0","2","9","8","6","16","1","0",".247",".309",".381",".690",".297","597.4","13897"
"Josh Fuentes","Rockies","8","31","30","7","2","0","1","4","4","1","9","0","0",".246",".287",".416",".703",".297","999.0","16885"
"Matt Adams","","21","60","55","12","2","0","3","7","9","4","18","0","0",".221",".277",".430",".707",".296","600.1","9393"
"Luis Guillorme","Mets","8","26","23","6","1","0","0","3","2","3","5","0","0",".247",".322",".354",".676",".296","999.0","16451"
"Nick Williams","Reds","6","22","20","5","1","0","1","3","3","1","7","0","0",".244",".303",".387",".690",".296","999.0","14330"
"Danny Mendick","White Sox","9","36","33","8","1","0","1","4","4","3","8","1","0",".240",".305",".386",".690",".296","600.6","18889"
"Jacob Stallings","Pirates","39","138","126","32","7","0","3","15","14","9","27","0","0",".256",".312",".383",".695",".295","549.7","13723"
"Albert Pujols","Angels","41","171","157","38","6","0","6","18","24","11","23","1","0",".243",".294",".407",".701",".295","562.1","1177"
"Joey Wendle","Rays","31","125","114","29","7","1","2","15","12","7","23","4","1",".258",".310",".384",".694",".295","585.2","13853"
"Addison Russell","","16","53","48","12","2","0","1","6","5","5","13","0","0",".242",".314",".388",".702",".295","600.6","14106"
"Brandon Crawford","Giants","51","202","182","44","10","1","5","21","21","17","42","1","1",".242",".310",".382",".692",".295","591.0","5343"
"Miguel Rojas","Marlins","47","178","164","44","8","0","3","18","17","10","22","3","1",".269",".317",".373",".690",".295","589.8","7802"
"J.P. Crawford","Mariners","48","196","170","39","8","1","4","21","18","21","44","3","1",".229",".318",".357",".676",".295","575.9","15491"
"Tom Murphy","Mariners","37","140","129","29","6","1","6","14","17","9","47","1","0",".226",".281",".423",".704",".295","259.8","13499"
"Greg Allen","Padres","18","67","59","15","3","0","1","8","6","4","14","2","1",".246",".313",".368",".681",".294","599.8","16623"
"Kyle Lewis","Mariners","49","201","183","43","10","0","7","20","21","15","63","1","0",".234",".293",".401",".694",".294","415.5","19508"
"Jose Iglesias","Orioles","50","195","184","50","10","1","3","21","19","8","24","3","2",".270",".306",".382",".688",".294","576.7","10231"
"Brandon Dixon","Tigers","17","64","59","14","4","0","2","7","7","4","20","1","0",".240",".288",".409",".696",".294","600.3","15214"
"Dilson Herrera","Orioles","7","25","22","5","1","0","1","3","2","2","8","0","0",".217",".289",".399",".688",".294","999.0","14335"
"Albert Almora Jr.","Cubs","39","137","128","33","6","1","3","16","14","7","23","1","0",".261",".298",".398",".696",".294","598.8","14109"
"Austin Romine","Tigers","34","121","112","29","6","0","3","13","15","6","26","0","0",".254",".294",".400",".694",".293","406.9","5491"
"Rosell Herrera","Yankees","9","26","23","6","2","0","0","3","3","2","6","1","0",".247",".319",".352",".671",".293","999.0","11611"
"Kyle Higashioka","Yankees","13","49","45","10","2","0","2","6","7","3","14","0","0",".223",".274",".428",".702",".293","596.8","5517"
"Hernan Perez","Cubs","7","21","20","5","1","0","1","2","2","1","5","1","0",".246",".288",".409",".696",".293","999.0","5751"
"Pedro Severino","Orioles","32","117","106","25","4","0","4","11","13","9","25","1","0",".236",".302",".382",".684",".293","538.3","14523"
"Freddy Galvis","Reds","52","213","198","49","10","1","6","24","24","12","48","2","1",".248",".293",".399",".692",".293","487.1","6609"
"Dom Nunez","Rockies","8","28","25","5","1","0","1","3","3","3","8","0","0",".220",".296",".394",".690",".293","600.9","15055"
"Cheslor Cuthbert","White Sox","16","61","57","14","3","0","2","6","7","4","14","0","0",".244",".295",".392",".687",".292","999.0","10473"
"Leury Garcia","White Sox","35","140","130","35","6","1","2","17","12","5","32","4","1",".266",".303",".380",".683",".292","570.8","5913"
"Edward Olivares","Royals","11","47","43","10","2","0","1","6","5","3","10","2","1",".243",".297",".389",".686",".292","589.8","19698"
"Tony Wolters","Rockies","37","131","114","28","6","1","1","14","12","12","23","0","0",".248",".330",".346",".676",".292","574.2","11470"
"Daniel Robertson","Giants","18","70","61","14","3","0","1","8","6","7","17","0","0",".229",".325",".332",".657",".291","999.0","14145"
"Jason Martin","Pirates","13","46","42","10","2","0","1","5","5","3","11","1","0",".244",".297",".387",".684",".291","999.0","16429"
"Mallex Smith","Mariners","50","201","180","45","8","3","2","24","15","16","45","15","4",".247",".316",".351",".667",".291","169.0","13608"
"Melky Cabrera","Mets","10","38","36","10","2","0","1","4","4","2","5","0","0",".272",".308",".373",".681",".291","600.5","4022"
"Matt Wieters","Cardinals","19","68","61","14","2","0","3","7","8","5","15","0","0",".229",".297",".393",".690",".291","597.2","4298"
"Charlie Culberson","Braves","15","41","38","9","2","0","1","5","5","2","11","0","0",".247",".292",".391",".683",".290","999.0","3298"
"Brandon Drury","Blue Jays","31","119","110","26","6","0","4","12","13","8","29","0","0",".235",".292",".392",".683",".290","599.6","11615"
"Daniel Descalso","Cubs","12","42","36","7","2","0","1","5","4","5","12","0","0",".203",".301",".371",".672",".290","999.0","8392"
"Dustin Garneau","Astros","15","54","48","10","2","0","2","6","6","5","15","0","0",".207",".291",".384",".675",".290","599.3","9433"
"Chris Iannetta","Yankees","7","24","21","4","1","0","1","3","3","3","7","0","0",".211",".303",".367",".670",".290","600.2","8267"
"Cole Tucker","Pirates","20","78","70","17","4","1","1","9","7","6","17","2","1",".244",".309",".362",".671",".290","597.7","17326"
"Josh Phegley","Cubs","13","43","39","9","3","0","1","5","6","3","9","0","0",".229",".285",".402",".687",".290","599.0","9308"
"Sheldon Neuse","Athletics","12","46","42","10","2","0","1","5","5","3","14","0","0",".249",".300",".377",".677",".289","600.5","19635"
"Yolmer Sanchez","White Sox","26","103","92","23","5","1","1","10","8","7","21","1","1",".246",".309",".360",".669",".289","999.0","11602"
"Dawel Lugo","Tigers","29","112","106","28","5","1","2","12","12","4","20","1","0",".265",".296",".385",".680",".289","601.0","14713"
"Thairo Estrada","Yankees","8","29","27","7","1","0","1","4","3","2","6","1","0",".249",".294",".380",".674",".288","599.3","16426"
"Isiah Kiner-Falefa","Rangers","37","141","128","32","7","1","1","14","12","10","26","2","1",".252",".314",".346",".660",".288","335.8","16512"
"Michael Perez","Rays","16","58","52","12","3","0","2","6","6","5","16","0","0",".223",".293",".382",".675",".288","999.0","12977"
"Matt Duffy","Yankees","9","35","32","8","1","0","0","4","3","3","6","0","0",".266",".332",".315",".648",".288","601.0","13836"
"Pat Valaika","Orioles","14","50","46","11","2","0","2","5","5","3","14","0","0",".229",".275",".408",".684",".288","999.0","14885"
"Kyle Farmer","Reds","15","44","41","10","2","0","1","4","5","2","11","1","0",".237",".284",".397",".681",".288","600.9","14813"
"Seth Brown","Athletics","14","54","50","11","2","0","2","6","7","4","16","1","0",".229",".289",".383",".672",".287","597.7","18171"
"Brett Phillips","Rays","20","75","64","14","3","1","2","9","7","8","25","2","1",".213",".302",".376",".678",".287","601.0","14735"
"Joey Rickard","Giants","7","21","19","4","1","0","0","2","1","2","5","0","0",".233",".304",".356",".660",".287","999.0","13277"
"Eduardo Nunez","Mets","10","39","37","9","2","0","1","4","4","1","6","1","0",".256",".284",".396",".680",".287","999.0","6848"
"Tim Lopes","Mariners","10","39","35","9","2","0","1","4","3","3","8","1","1",".248",".305",".360",".666",".287","594.0","14137"
"Yairo Munoz","Red Sox","7","24","22","5","1","0","1","3","3","1","5","1","0",".247",".292",".383",".675",".287","999.0","16313"
"Adeiny Hechavarria","Braves","14","52","49","12","2","0","1","7","6","3","10","1","0",".254",".294",".383",".677",".286","600.6","10459"
"Steve Wilkerson","Orioles","12","45","41","9","2","0","1","5","4","3","13","0","0",".230",".291",".376",".667",".286","999.0","16041"
"Cedric Mullins II","Orioles","5","22","20","5","1","0","0","3","2","1","4","1","0",".244",".298",".369",".667",".286","599.7","17929"
"Adolis Garcia","Rangers","8","30","28","6","1","0","1","4","4","1","9","0","0",".229",".273",".406",".679",".286","600.9","19287"
"Guillermo Heredia","Mets","35","121","108","25","5","0","2","12","10","9","28","1","1",".237",".308",".351",".659",".286","600.8","18721"
"Taylor Trammell","Mariners","18","74","65","14","3","0","2","8","8","8","19","2","1",".209",".304",".346",".650",".285","999.0","sa917943"
"Michael A. Taylor","Nationals","23","81","74","17","4","0","2","10","9","6","26","4","1",".230",".291",".390",".681",".285","599.8","11489"
"Andrew Knapp","Phillies","18","56","48","11","3","0","1","6","5","6","17","0","0",".220",".313",".348",".661",".285","600.4","14942"
"Jake Marisnick","Mets","29","94","86","19","4","1","3","13","10","6","30","3","1",".218",".279",".393",".672",".285","600.4","11339"
